feature,rf_importance,rf_rank,mi_importance,mi_rank,ridge_coef,ridge_rank,avg_rank
home_pace,0.06102198550303029,1.0,0.05933146597835126,1.0,1.3067737064365448,11.0,4.333333333333333
home_ft_rate,0.02124111737822738,11.0,0.02748128909216785,8.0,5.375297483027827,1.0,6.666666666666667
away_pace,0.04494828111183342,4.0,0.025698955293149695,11.0,1.1739106825577583,13.0,9.333333333333334
away_ft_rate,0.023854569736388536,8.0,0.008607265277922771,30.0,3.9141042991141255,3.0,13.666666666666666
home_orb_rate,0.024468810396234265,7.0,0.009796864161802255,28.0,1.7428607327929928,8.0,14.333333333333334
away_recent_points,0.04693817550007409,2.0,0.04811898297929318,3.0,0.14939053177455036,42.0,15.666666666666666
home_tov_rate,0.01917251408122771,17.0,0.010124873167337789,27.0,2.674266128422219,5.0,16.333333333333332
away_orb_rate,0.020702671376558516,13.0,0.0075729770776034044,31.0,2.5576135053201,6.0,16.666666666666668
away_def_rating,0.02222742257923002,9.0,0.02003338371521135,19.0,0.4054976130935968,32.0,20.0
away_recent_allowed,0.04679563337924763,3.0,0.04977838391178757,2.0,0.0636428792169786,56.0,20.333333333333332
away_road_win_pct,0.013485477037242106,29.0,0.012176550423770749,25.0,2.089335712393788,7.0,20.333333333333332
away_ts_proxy,0.008931335835410352,41.0,0.02714486656613424,9.0,0.9463808929873347,15.0,21.666666666666668
away_win_pct,0.014022246446081172,28.0,0.015793235778319037,22.0,0.861986911433963,16.0,22.0
schedule_strength_diff,0.02119504237617436,12.0,0.035454385275256683,4.0,0.08481227575231162,51.0,22.333333333333332
home_ts_proxy,0.011606625939611372,34.0,0.022733387800919047,16.0,0.7596335919706864,17.0,22.333333333333332
home_efg,0.019396215803467856,15.0,0.0033258225231227456,41.0,1.2971633402734852,12.0,22.666666666666668
home_efficiency_score,0.008725679386451066,42.0,0.032629455348867076,5.0,0.4936672066096088,26.0,24.333333333333332
home_win_pct,0.011099350675725699,36.0,0.006358663873924364,36.0,5.3483363289176715,2.0,24.666666666666668
away_tov_rate,0.01793992903050987,20.0,0.026775534954490254,10.0,0.12122493985305718,45.0,25.0
away_four_factor_weighted,0.01320453908167768,30.0,0.024340554376169443,13.0,0.3278873639967311,34.0,25.666666666666668
home_recent_allowed,0.03950734634244602,6.0,0.031138603640782136,6.0,0.00434238398219323,71.0,27.666666666666668
recent_wins_diff,0.00558086782766968,54.0,0.02350321629504304,15.0,0.9608595826096306,14.0,27.666666666666668
home_recent_points,0.04166479536698093,5.0,0.0027006039127819292,44.0,0.17169331903820023,40.0,29.666666666666668
ts_proxy_diff,0.01253536578845407,32.0,0.0010527340417132436,49.0,1.7060144849580177,9.0,30.0
four_factor_diff,0.016241357207989034,24.0,0.0,63.5,2.9768533416605836,4.0,30.5
home_recent_margin,0.014727537462093028,27.0,0.024153589045095458,14.0,0.06422822001363292,55.0,32.0
home_four_factor_weighted,0.012343756290326942,33.0,0.0027532527787865746,43.0,0.6074236718917405,21.0,32.333333333333336
home_home_win_pct,0.010148598033862161,38.0,0.0006111771532681942,51.0,1.3195795670323713,10.0,33.0
off_rating_diff,0.010470720313163937,37.0,0.028187994392224525,7.0,0.04919649403151798,59.0,34.333333333333336
recent_margin_diff,0.015433141911436452,26.0,0.01247982280873039,24.0,0.07484809001389148,53.0,34.333333333333336
away_schedule_strength,0.022029725315671884,10.0,0.011332057921802807,26.0,0.011176768356848768,68.0,34.666666666666664
home_def_rating,0.019758805467137156,14.0,0.0,63.5,0.451153854111449,27.0,34.833333333333336
home_net_rating,0.008197708665168408,46.0,0.024909241668068738,12.0,0.11728942348949853,47.0,35.0
home_assist_ratio_proxy,0.017899756361002498,21.0,0.0,63.5,0.5443920724384836,24.0,36.166666666666664
pace_diff,0.019305253506789258,16.0,0.000820649376609417,50.0,0.13286302387575255,44.0,36.666666666666664
