fold,model,n_train,n_test,pi_method,mae_total,rmse_total,mae_margin,rmse_margin,pi80_cov_total,pi80_cov_margin,pi80_width_total,pi80_width_margin,brier_ml,ece_ml,brier_total_over,ece_total_over,brier_spread_home,ece_spread_home,roi,n_bets,max_drawdown
1,ridge,500,200,normal,11.72038359222438,15.447192151243874,9.559080815328711,11.85755332973677,0.76,0.775,34.435442627005365,27.830394440368238,0.1495259863776415,0.09202062122844866,0.14133369039516705,0.11654146950919159,0.19406040814343234,0.1670566472773071,,,
1,random_forest,500,200,normal,12.004524953553387,15.760884884318145,9.765391167582418,11.975771798299766,0.44,0.38,15.78896892941779,12.316017774556625,0.16313804909769275,0.15615145428522967,0.17655078792006842,0.15677144487207623,0.20341813992172078,0.17475816697115495,,,
1,gbt,500,200,normal,12.74528673150997,16.59829342367598,10.367884956351508,12.967568385645016,0.16,0.18,7.107324800488641,5.401229957942235,0.20432621021577774,0.19280156985573393,0.21746932130755942,0.2435006221688962,0.29827509624249626,0.32516632608039864,,,
2,ridge,700,200,normal,10.76129096326657,13.811462908853787,9.361668913744474,11.610355495439324,0.81,0.75,35.527690284673206,28.422739349543043,0.17640653198066006,0.07957591616837024,0.1645565032233745,0.0809909742025125,0.19251989626889465,0.03650482664498567,,,
2,random_forest,700,200,normal,10.767764170135424,13.912288597968534,9.471039155185093,11.6961593419037,0.49,0.385,15.930330590799342,12.233292772493801,0.20901826632482293,0.1609335932761721,0.17236961853864083,0.15108918643575972,0.22345466391000351,0.1662200225719649,,,
2,gbt,700,200,normal,11.732210209532612,15.212484540163622,10.32926895539766,12.78064369743029,0.275,0.23,8.624092600231052,6.939581811875097,0.2494425577390074,0.2223353497131386,0.2105801825269983,0.20079978391365777,0.27377704011828125,0.25602812200590785,,,
3,ridge,900,200,normal,10.655129483414285,13.593435772599333,9.52182953929844,11.265011757862691,0.79,0.79,35.32037284479393,28.516420331743817,0.18301723993201655,0.11879319520374257,0.18899969964778462,0.12406906756183109,0.1744003286639072,0.10225289166301993,,,
3,random_forest,900,200,normal,10.944226367868248,13.81890832374296,9.455069351100288,11.334415107516026,0.445,0.35,15.664674173555966,12.243623971332392,0.22034071384404302,0.18094604446664225,0.218176944478599,0.17549556165729696,0.1951060661864368,0.15994344263893234,,,
3,gbt,900,200,normal,11.767003946902786,15.040631302773525,9.777964212733739,12.011086980067155,0.27,0.23,9.60398571249098,7.9877257687868894,0.2282684861673658,0.22371462840464937,0.28415745388337027,0.2848216226793495,0.2030182399139195,0.1888668552223886,,,
4,ridge,1100,200,normal,12.07200942930391,17.3520916922519,8.161795654960528,10.521591373414651,0.77,0.83,35.08903696709901,28.51329630836619,0.14175005461028953,0.06557689974281002,0.17672010319003062,0.09399565195471131,0.19959872744904794,0.08457034609431256,,,
