fold,model,n_train,n_test,pi_method,mae_total,rmse_total,mae_margin,rmse_margin,pi80_cov_total,pi80_cov_margin,pi80_width_total,pi80_width_margin,brier_ml,ece_ml,brier_total_over,ece_total_over,brier_spread_home,ece_spread_home,roi,n_bets,max_drawdown
1,ridge,500,200,quantile,11.71740617097055,15.44132407712658,9.42020081126466,11.748096815458315,0.73,0.71,33.35232515876181,26.38280818800929,0.14735191280469956,0.07680646680517189,0.14249202641616782,0.08924446190896773,0.1993941845292995,0.12053961860258953,,,
1,random_forest,500,200,quantile,11.77674920815296,15.529668995348457,9.578583367223054,11.872703107011702,0.73,0.71,33.35232515876181,26.38280818800929,0.16426241439078695,0.12674848730297547,0.15249295595720114,0.13765331230792585,0.20868542682034105,0.1393768788854654,,,
1,gbt,500,200,quantile,12.583922051690283,16.333484313836454,10.707355459597999,13.249824135666824,0.73,0.71,33.35232515876181,26.38280818800929,0.21954904386627042,0.22004162659068943,0.17181775167437865,0.16798224127596534,0.34927775364149466,0.3766715962465136,,,
2,ridge,700,200,quantile,12.554756233057782,18.76752739579061,9.626193366977253,11.817120294048182,0.81,0.75,35.42218698913914,28.632597491455307,0.17782859854244037,0.052741635160030095,0.16006704600198846,0.07105450062551408,0.18503829978857772,0.051563444889258646,,,
2,random_forest,700,200,quantile,13.32618416937229,20.55884202900415,9.585661286630035,11.789883247534705,0.81,0.75,35.42218698913914,28.632597491455307,0.21148218130966842,0.162119655859608,0.1844691841410116,0.13048916621482712,0.21618827370602092,0.16964905797060287,,,
2,gbt,700,200,quantile,13.955663135017558,21.13400972457597,10.199881580070905,12.608604249421617,0.81,0.75,35.42218698913914,28.632597491455307,0.24318140760201204,0.24424446711336423,0.23221411643503082,0.22405434435251986,0.2716522883979668,0.2618067886130133,,,
3,ridge,900,200,quantile,10.666790405909742,13.802084559565476,9.011702792465886,10.739132033827174,0.79,0.76,35.72207694032386,28.07235691836622,0.17176258554999677,0.06689033113520318,0.20650383546746492,0.17931527708427214,0.18131963837790582,0.11998718572636664,,,
3,random_forest,900,200,quantile,10.644349657217786,13.468532523248813,9.09634776015651,10.967464242577195,0.79,0.76,35.72207694032386,28.07235691836622,0.2078053894520435,0.17831213061847043,0.2209539695969111,0.1947416102701609,0.22157820493792982,0.2161619602679693,,,
3,gbt,900,200,quantile,11.2456809151455,14.504020323063045,9.368467290878236,11.749046438644573,0.79,0.76,35.72207694032386,28.07235691836622,0.2373996162374861,0.2151036453250234,0.22822298826057633,0.23906360291749995,0.264183786222458,0.24783801018397353,,,
4,ridge,1100,200,quantile,11.567014339055019,17.3406721388754,8.138446022683425,10.657715097980716,0.8,0.8,34.965027955327926,26.48889396334198,0.14543280811941403,0.07315109015536578,0.16380068007749465,0.09630683803646777,0.19002076853946007,0.07514611941287945,,,
4,random_forest,1100,200,quantile,11.36590031714813,16.140221189559835,8.188211408591409,10.395358398777725,0.8,0.8,34.965027955327926,26.48889396334198,0.15410682546052842,0.11416825316279595,0.17956765851104686,0.13400658796475345,0.21786383013385172,0.18486979628008157,,,
4,gbt,1100,200,quantile,12.204341477141284,17.087980855463965,8.724809890841412,10.97815420703605,0.8,0.8,34.965027955327926,26.48889396334198,0.17894042682062442,0.15054347439861118,0.19684574379930664,0.17005015572776824,0.23203274009343242,0.20071657774933493,,,
5,ridge,1300,200,quantile,12.734737261907094,15.311860659448351,9.731958644780574,12.244778673300946,0.785,0.775,35.32917038429686,28.160960613547385,0.18706417045922458,0.08072737105654396,0.19842428673464085,0.0961927063332959,0.19273412461033865,0.11475654239631447,,,
5,random_forest,1300,200,quantile,12.569963511245692,15.099105722980012,9.76898224268787,12.114873245342395,0.785,0.775,35.32917038429686,28.160960613547385,0.2401357125898918,0.20847151610488104,0.21032778815560674,0.18121908474832085,0.2347579233264423,0.21813882458422323,,,
5,gbt,1300,200,quantile,13.544488965400667,16.29300640311049,10.277411875657542,12.758697396279672,0.785,0.775,35.32917038429686,28.160960613547385,0.2711741745119398,0.2447196572721566,0.25455188280858404,0.20978357428889213,0.2843757000056675,0.2699391288423957,,,
6,ridge,1500,200,quantile,11.790117739111087,14.55755514175748,8.607680794891705,11.020546581849,0.76,0.78,34.86639733566342,28.644020458938108,0.18476092710484393,0.11950572112067283,0.310277802223609,0.41242702527976544,0.23746677353515427,0.24769873353750962,,,
6,random_forest,1500,200,quantile,11.945947858148797,15.014672920103429,8.82774448912199,11.218675401304848,0.76,0.78,34.86639733566342,28.644020458938108,0.21546883473491324,0.1675353147224561,0.382877260551296,0.47343485565020554,0.31081222790088864,0.4209394074851015,,,
6,gbt,1500,200,quantile,12.653686181286906,15.739650849677416,9.46156629327785,11.924655062645073,0.76,0.78,34.86639733566342,28.644020458938108,0.25009726357376877,0.21254651273972883,0.4332905142857596,0.4293816556033821,0.3048866908260227,0.32171924094849114,,,
7,ridge,1700,200,quantile,10.775240283752241,13.295791282554667,8.285686014636859,10.641348872057392,0.805,0.815,36.06209285949874,27.59164114693492,0.144737108381885,0.08916039211861615,,,,,,,
7,random_forest,1700,200,quantile,11.196268103354978,13.725952539017072,8.449226379419192,10.815102566780741,0.805,0.815,36.06209285949874,27.59164114693492,0.15638412714158897,0.09683361845926487,,,,,,,
7,gbt,1700,200,quantile,11.49755510049976,14.096931636508625,8.830918508912111,11.464884920394729,0.805,0.815,36.06209285949874,27.59164114693492,0.17614597838377918,0.15365474566837176,,,,,,,
8,ridge,1900,200,quantile,10.86448035352586,13.973586073135017,9.661672631870054,12.367846340959845,0.82,0.72,35.35761970305062,27.638074108208055,0.1897421388156713,0.06522989099629053,,,,,,,
8,random_forest,1900,200,quantile,10.86287666392635,13.968132709520065,9.747855098755412,12.48210637881912,0.82,0.72,35.35761970305062,27.638074108208055,0.22190090362670642,0.16515144799205922,,,,,,,
8,gbt,1900,200,quantile,12.05572003491987,15.175516684895202,9.972077345261559,12.832214255677279,0.82,0.72,35.35761970305062,27.638074108208055,0.22001522959166941,0.1804695561521027,,,,,,,
9,ridge,2100,200,quantile,13.608526938999205,20.280698870119647,9.463029037930824,11.908408881861721,0.785,0.77,38.00148220240501,28.56893157716401,0.17791191329435693,0.06644918852825586,,,,,,,
9,random_forest,2100,200,quantile,11.842852145077142,14.675209059427717,9.526283029470529,12.134776085834648,0.785,0.77,38.00148220240501,28.56893157716401,0.19530046284221014,0.1440494842245072,,,,,,,
9,gbt,2100,200,quantile,12.994151214718867,16.432475859648367,9.872790748882924,12.612114410377762,0.785,0.77,38.00148220240501,28.56893157716401,0.2117367924123625,0.17460113100537328,,,,,,,
10,ridge,2300,200,quantile,11.351551374006013,15.30967130579061,9.238938091931217,11.531418374793256,0.815,0.75,34.794255014674256,28.056312368541803,0.19758400956246633,0.0647389242516531,0.19918018953267608,0.2616872675569543,0.20014376904480172,0.29199854899182837,,,
10,random_forest,2300,200,quantile,11.492420380175377,15.312187611603113,9.2803525378441,11.48121016142764,0.815,0.75,34.794255014674256,28.056312368541803,0.23367617310502517,0.19064389597367815,0.20657070879020356,0.22936007731218105,0.19605016435503272,0.2098115553803617,,,
10,gbt,2300,200,quantile,12.392203184039158,16.509025409032528,9.813630662090027,11.930991461918174,0.815,0.75,34.794255014674256,28.056312368541803,0.2544565411976846,0.21496993755871946,0.2452647986458455,0.3303769694729756,0.16602721188209504,0.2601813777435099,,,
11,ridge,2500,200,quantile,11.041405100164466,14.290368192622777,9.593148294990092,12.500413844673067,0.785,0.765,34.23084580962556,28.768359390838754,0.15916437599063976,0.08583373211015169,0.11697917551355037,0.11886876622983832,0.2186428676850674,0.2766724824904086,,,
11,random_forest,2500,200,quantile,10.853051318265061,14.003522490685137,9.92534720012626,12.815618014578664,0.785,0.765,34.23084580962556,28.768359390838754,0.1854592652839851,0.15126983039458491,0.12809828611206062,0.1357934073508527,0.2314022165757203,0.2480495605894249,,,
11,gbt,2500,200,quantile,11.257265825074782,14.716527473383957,10.289770448113813,13.340787106464399,0.785,0.765,34.23084580962556,28.768359390838754,0.19737506488841622,0.15172151362772732,0.1560981946399846,0.17543996434617762,0.26541888654077617,0.2727885516727563,,,
