fold,model,n_train,n_test,mae_total,rmse_total,mae_margin,rmse_margin,pi80_cov_total,pi80_cov_margin,pi80_width_total,pi80_width_margin,brier_win
1,ridge,500,200,11.982346337093254,15.706224452258656,9.482602585359631,11.790851325878402,0.74,0.765,33.86214623305901,28.16316444938739,0.24566947193408925
1,random_forest,500,200,11.81656364628427,15.56115813744257,9.898196306228494,12.147760559598101,0.43,0.35,15.268664547587207,12.170057151516914,0.2903451118082581
1,gbt,500,200,12.72805218016188,16.440100074936637,11.146411830195794,13.555596789739544,0.205,0.16,6.738471786973178,5.77223040509253,0.45800838520160214
2,ridge,700,200,12.603010622343579,18.3435085524783,10.169540238753841,12.098756179313954,0.78,0.76,35.453443834466555,28.58570926457833,0.26944285291461695
2,random_forest,700,200,13.082820918456546,20.665237678243745,10.028522700459265,12.17520283681967,0.45,0.36,15.558926887511378,12.396273185157606,0.3220830527075344
2,gbt,700,200,14.539153790611731,21.870916308217282,10.545100268597361,12.916584677637267,0.23,0.185,9.134552195563955,7.941021902869668,0.3861521347577096
3,ridge,900,200,10.86377833408962,14.032921991120995,9.197432214581635,11.236794267870104,0.795,0.785,37.66859574308839,29.007787153148666,0.25499211042615066
3,random_forest,900,200,11.235305155469536,14.319809515628553,9.188035302475301,11.379343325566879,0.475,0.415,16.509814534618727,12.527709014753231,0.2791125589735127
3,gbt,900,200,12.007911799273849,15.420966355348718,9.872355901336611,12.317666188786388,0.4,0.285,15.343230850362287,8.597648185425173,0.3553601711285313
4,ridge,1100,200,11.474425380197985,17.22774392455735,8.571766584726785,10.978637464965825,0.83,0.8,37.21253702918777,28.927653683703188,0.243867175284674
4,random_forest,1100,200,11.323913584193583,16.149217332038102,8.700629400044399,10.896297123830502,0.495,0.44,16.41109532368742,12.4597759594563,0.2637483771209803
4,gbt,1100,200,12.288453600911218,17.019410183417087,8.828232897535718,11.114651321885011,0.415,0.37,16.729200843758264,9.8518883508836,0.3040814934170513
5,ridge,1300,200,12.978742357027727,15.687325348134467,9.892826681249801,12.246995811318861,0.755,0.785,37.070887832227584,28.778375064851613,0.24607469152864353
5,random_forest,1300,200,12.936012308281997,15.544544972436713,9.957727678883616,12.290412130281235,0.345,0.35,17.155327112548562,12.34309020347258,0.27049174387375174
5,gbt,1300,200,13.518651130502663,16.353072862501065,10.37579635111595,12.685280543177457,0.37,0.325,17.34608431150704,10.354373423875131,0.34058318193662934
6,ridge,1500,200,11.793622860017681,14.532869504626214,8.73693474478034,11.151302520079069,0.79,0.79,37.3852469907647,29.1083147863884,0.24451357713705377
6,random_forest,1500,200,11.998503279567654,14.93108902817719,8.960353578643579,11.496738333066254,0.42,0.45,17.186407581877575,12.444266588863824,0.2652140801760809
6,gbt,1500,200,12.729866876635691,15.700110910288398,9.524741517302221,12.234719036010269,0.395,0.39,16.757397839925034,10.995749813984963,0.32215148971747476
7,ridge,1700,200,10.721027445257064,13.244050983221147,8.133781534563852,10.484638421849397,0.845,0.815,37.33631710174436,29.027919828276882,0.24937655183699647
7,random_forest,1700,200,11.09950395136114,13.645783825919288,8.190327290903543,10.552829549070681,0.425,0.49,16.896986828685016,12.424446627786397,0.27913257330639873
7,gbt,1700,200,11.510047442317882,14.148475580455623,8.604023887626035,11.131483958297729,0.45,0.4,17.32356369053548,11.368075214333603,0.32943281944803116
8,ridge,1900,200,10.957695509102038,14.095822857150823,9.694556922501285,12.39240426124708,0.815,0.74,36.985777977842076,28.79405723580224,0.24873434499506228
8,random_forest,1900,200,10.875732672223608,13.93268757230751,9.752966331203517,12.457402818183057,0.48,0.39,16.573298401997477,12.286546721118341,0.2677853497383431
8,gbt,1900,200,11.74001942653788,15.064815842402744,10.310106008898362,13.246412011061935,0.475,0.375,17.524313232493455,11.789242595379061,0.3316204601047991
9,ridge,2100,200,13.415745495973733,19.690787252356145,9.478749106633904,11.93872316084922,0.81,0.775,36.883756877074255,29.079406156631247,0.24906140676948207
9,random_forest,2100,200,11.922003707577145,14.674629274051316,9.521845478271727,12.110864870805315,0.37,0.435,16.429338233611475,12.423502417975993,0.27637048390364916
9,gbt,2100,200,13.012083516053245,16.86673709997511,9.85713176848287,12.614534672371862,0.45,0.385,18.756456232327707,12.074487045602359,0.3229885484764638
10,ridge,2300,200,11.401838354261791,15.397412360230026,9.32748489655118,11.634704442953355,0.84,0.795,37.99455496204499,29.1978807592817,0.2494215444645441
10,random_forest,2300,200,11.567481932026313,15.540668303970842,9.355611649357586,11.58735073032992,0.465,0.38,16.212127809836232,12.452743985398621,0.2650379473265402
10,gbt,2300,200,12.479678665892624,16.507809663227388,9.693975457203356,11.929940138118631,0.465,0.39,18.701972856372237,12.954600867224913,0.30348848515542065
11,ridge,2500,200,11.137551286797175,14.347135675768499,9.745954988918964,12.577624517988966,0.805,0.76,38.0888989444637,29.241347368807798,0.25585090308903463
11,random_forest,2500,200,10.901328983655237,13.984017830182534,10.058689177489178,13.035596861926685,0.475,0.425,16.346065789898034,12.385214169052503,0.30652563921781484
11,gbt,2500,200,11.296498884352316,14.602055523067088,10.414057561351205,13.514738016429982,0.505,0.41,18.707670308062745,13.415030809547707,0.3445084848783184
