fold,model,n_train,n_test,mae_total,rmse_total,mae_margin,rmse_margin,pi80_cov_total,pi80_cov_margin,pi80_width_total,pi80_width_margin,brier_win
1,ridge,500,200,11.71740617097055,15.44132407712658,9.42020081126466,11.748096815458315,0.74,0.78,32.94694704379118,27.21190287131657,0.2393139244995537
1,random_forest,500,200,11.776749208152964,15.529668995348459,9.578583367223054,11.872703107011702,0.43,0.355,15.127512183681688,12.00699940869845,0.27108265590281755
1,gbt,500,200,12.583922051690283,16.333484313836454,10.707355459597999,13.249824135666824,0.16,0.14,6.315562178261614,5.116577745440321,0.43841048275088296
2,ridge,700,200,12.554756233057782,18.76752739579061,9.626193366977253,11.817120294048182,0.78,0.73,34.542120741709994,27.88236762080771,0.25955766931864394
2,random_forest,700,200,13.32618416937229,20.55884202900415,9.585661286630037,11.789883247534705,0.425,0.395,15.382664852706766,12.164133309052907,0.29757831030871584
2,gbt,700,200,13.955663135017558,21.13400972457597,10.199881580070905,12.608604249421617,0.235,0.2,8.293269090329572,6.628079139182319,0.4009909611156592
3,ridge,900,200,10.666790405909742,13.802084559565476,9.011702792465886,10.739132033827174,0.8,0.785,37.13803605636758,28.18625310050601,0.24882346993267979
3,random_forest,900,200,10.644349657217786,13.468532523248813,9.09634776015651,10.967464242577195,0.49,0.405,16.212343118373553,12.227299493113573,0.2804985533620606
3,gbt,900,200,11.2456809151455,14.504020323063045,9.368467290878236,11.749046438644573,0.43,0.285,14.608621337013414,7.5510804810719465,0.3512430206552684
4,ridge,1100,200,11.567014339055019,17.3406721388754,8.138446022683425,10.657715097980716,0.81,0.835,36.669714668480026,28.032680473429192,0.23603982190958303
4,random_forest,1100,200,11.36590031714813,16.14022118955984,8.188211408591409,10.395358398777725,0.435,0.475,15.889306356738446,12.131977688557361,0.2531744049667804
4,gbt,1100,200,12.204341477141284,17.087980855463965,8.724809890841412,10.97815420703605,0.405,0.365,15.51270974009631,9.611409294658854,0.3148661807843125
5,ridge,1300,200,12.734737261907094,15.311860659448351,9.731958644780574,12.244778673300946,0.78,0.75,36.63291401013788,27.83440803132157,0.24385005708589053
5,random_forest,1300,200,12.569963511245696,15.099105722980012,9.76898224268787,12.114873245342395,0.38,0.355,16.827414757543067,11.999777464521545,0.2612942655010684
5,gbt,1300,200,13.544488965400667,16.29300640311049,10.277411875657542,12.758697396279672,0.28,0.28,15.715575952370191,9.138312495903278,0.34080509654393976
6,ridge,1500,200,11.790117739111087,14.55755514175748,8.607680794891705,11.020546581849,0.775,0.77,36.87248526010633,28.293224970206857,0.2405869679889448
6,random_forest,1500,200,11.945947858148797,15.01467292010343,8.82774448912199,11.218675401304848,0.42,0.435,16.76571021906946,12.142029360566598,0.2568045815844032
6,gbt,1500,200,12.653686181286906,15.739650849677416,9.46156629327785,11.924655062645073,0.365,0.335,15.180252472458816,9.658077167814952,0.3220067700312935
7,ridge,1700,200,10.775240283752241,13.295791282554667,8.285686014636859,10.641348872057392,0.83,0.795,36.889744753594165,28.270217980847864,0.2542464033191809
7,random_forest,1700,200,11.196268103354978,13.725952539017072,8.449226379419192,10.815102566780741,0.43,0.435,16.58852693765016,12.120280834471709,0.2993548781996682
7,gbt,1700,200,11.49755510049976,14.096931636508625,8.830918508912111,11.464884920394729,0.42,0.4,15.749722701309711,10.404459719805692,0.33956181753584885
8,ridge,1900,200,10.86448035352586,13.973586073135017,9.661672631870054,12.367846340959845,0.82,0.75,36.59292693926478,28.14726236820705,0.2459344656853476
8,random_forest,1900,200,10.86287666392635,13.968132709520066,9.747855098755412,12.48210637881912,0.47,0.42,16.28416373134371,12.050983849444338,0.27210363686493155
8,gbt,1900,200,12.05572003491987,15.175516684895202,9.972077345261559,12.832214255677279,0.42,0.355,16.27197906277516,11.241714150703533,0.3208028261812339
9,ridge,2100,200,13.608526938999205,20.280698870119647,9.463029037930824,11.908408881861721,0.81,0.76,36.50139249289928,28.493362666234038,0.24738847390411942
9,random_forest,2100,200,11.842852145077146,14.675209059427717,9.526283029470529,12.134776085834648,0.38,0.435,16.18912244961582,12.217202963936854,0.2740190338360866
9,gbt,2100,200,12.994151214718867,16.432475859648367,9.872790748882924,12.612114410377762,0.43,0.395,18.36525767976117,11.933217009876817,0.31928829414517335
10,ridge,2300,200,11.351551374006013,15.30967130579061,9.238938091931217,11.531418374793256,0.84,0.78,37.76947956911437,28.65777584708449,0.24639126909109826
10,random_forest,2300,200,11.492420380175377,15.312187611603113,9.2803525378441,11.48121016142764,0.46,0.37,16.008748572829845,12.257994544328353,0.25658746184091946
10,gbt,2300,200,12.392203184039158,16.509025409032528,9.813630662090027,11.930991461918174,0.485,0.36,18.678289598078607,12.21331034917307,0.31474601138165953
11,ridge,2500,200,11.041405100164466,14.290368192622777,9.593148294990092,12.500413844673067,0.825,0.755,37.86421075383671,28.723213056505433,0.25268434234187426
11,random_forest,2500,200,10.853051318265067,14.003522490685139,9.92534720012626,12.815618014578664,0.47,0.415,16.081625301969098,12.250991355855883,0.3029465935731912
11,gbt,2500,200,11.257265825074782,14.716527473383957,10.289770448113813,13.340787106464399,0.5,0.405,18.48078489982899,13.347056981426558,0.3314097447450741
