2026-02-01 14:40:51,605 - INFO - ======================================================================
2026-02-01 14:40:51,605 - INFO - ADDING DATES FROM GAME IDs
2026-02-01 14:40:51,605 - INFO - ======================================================================
2026-02-01 14:40:51,658 - INFO - 📊 Loaded 3520 pregame games
2026-02-01 14:40:51,660 - WARNING - ⚠️ Could not extract date from 0022300001: month must be in 1..12, not 0
2026-02-01 14:40:51,661 - WARNING - ⚠️ Could not extract date from 0022300002: month must be in 1..12, not 0
2026-02-01 14:40:51,661 - WARNING - ⚠️ Could not extract date from 0022300003: month must be in 1..12, not 0
2026-02-01 14:40:51,661 - WARNING - ⚠️ Could not extract date from 0022300004: month must be in 1..12, not 0
2026-02-01 14:40:51,661 - WARNING - ⚠️ Could not extract date from 0022300005: month must be in 1..12, not 0
2026-02-01 14:40:51,661 - WARNING - ⚠️ Could not extract date from 0022300006: month must be in 1..12, not 0
2026-02-01 14:40:51,661 - WARNING - ⚠️ Could not extract date from 0022300007: month must be in 1..12, not 0
2026-02-01 14:40:51,661 - WARNING - ⚠️ Could not extract date from 0022300008: month must be in 1..12, not 0
2026-02-01 14:40:51,661 - WARNING - ⚠️ Could not extract date from 0022300009: month must be in 1..12, not 0
2026-02-01 14:40:51,662 - WARNING - ⚠️ Could not extract date from 0022300010: month must be in 1..12, not 0
2026-02-01 14:40:51,662 - WARNING - ⚠️ Could not extract date from 0022300011: month must be in 1..12, not 0
2026-02-01 14:40:51,662 - WARNING - ⚠️ Could not extract date from 0022300012: month must be in 1..12, not 0
2026-02-01 14:40:51,662 - WARNING - ⚠️ Could not extract date from 0022300013: month must be in 1..12, not 0
2026-02-01 14:40:51,662 - WARNING - ⚠️ Could not extract date from 0022300014: month must be in 1..12, not 0
2026-02-01 14:40:51,662 - WARNING - ⚠️ Could not extract date from 0022300015: month must be in 1..12, not 0
2026-02-01 14:40:51,662 - WARNING - ⚠️ Could not extract date from 0022300016: month must be in 1..12, not 0
2026-02-01 14:40:51,662 - WARNING - ⚠️ Could not extract date from 0022300017: month must be in 1..12, not 0
2026-02-01 14:40:51,662 - WARNING - ⚠️ Could not extract date from 0022300018: month must be in 1..12, not 0
2026-02-01 14:40:51,662 - WARNING - ⚠️ Could not extract date from 0022300019: month must be in 1..12, not 0
2026-02-01 14:40:51,662 - WARNING - ⚠️ Could not extract date from 0022300020: month must be in 1..12, not 0
2026-02-01 14:40:51,662 - WARNING - ⚠️ Could not extract date from 0022300021: month must be in 1..12, not 0
2026-02-01 14:40:51,662 - WARNING - ⚠️ Could not extract date from 0022300022: month must be in 1..12, not 0
2026-02-01 14:40:51,662 - WARNING - ⚠️ Could not extract date from 0022300023: month must be in 1..12, not 0
2026-02-01 14:40:51,662 - WARNING - ⚠️ Could not extract date from 0022300024: month must be in 1..12, not 0
2026-02-01 14:40:51,662 - WARNING - ⚠️ Could not extract date from 0022300025: month must be in 1..12, not 0
2026-02-01 14:40:51,662 - WARNING - ⚠️ Could not extract date from 0022300026: month must be in 1..12, not 0
2026-02-01 14:40:51,662 - WARNING - ⚠️ Could not extract date from 0022300027: month must be in 1..12, not 0
2026-02-01 14:40:51,662 - WARNING - ⚠️ Could not extract date from 0022300028: month must be in 1..12, not 0
2026-02-01 14:40:51,663 - WARNING - ⚠️ Could not extract date from 0022300029: month must be in 1..12, not 0
2026-02-01 14:40:51,663 - WARNING - ⚠️ Could not extract date from 0022300030: month must be in 1..12, not 0
2026-02-01 14:40:51,663 - WARNING - ⚠️ Could not extract date from 0022300031: month must be in 1..12, not 0
2026-02-01 14:40:51,663 - WARNING - ⚠️ Could not extract date from 0022300032: month must be in 1..12, not 0
2026-02-01 14:40:51,663 - WARNING - ⚠️ Could not extract date from 0022300033: month must be in 1..12, not 0
2026-02-01 14:40:51,663 - WARNING - ⚠️ Could not extract date from 0022300034: month must be in 1..12, not 0
