date,game_id,home,away,pred_total,pred_margin,pred_winner,home_win_prob,actual_total,actual_margin,actual_winner,total_error,margin_error,winner_correct
2026-01-26,0022500657,CHA,PHI,230.0,0.3,CHA,0.517,223,37,CHA,7.0,-36.7,1
2026-01-26,0022500658,CLE,ORL,234.1,4.3,CLE,0.746,212,16,CLE,22.1,-11.7,1
2026-01-26,0022500659,ATL,IND,227.8,6.6,ATL,0.838,248,16,ATL,-20.2,-9.4,1
2026-01-26,0022500660,BOS,POR,231.4,2.2,BOS,0.635,196,8,BOS,35.4,-5.8,1
2026-01-26,0022500661,CHI,LAL,234.8,-0.3,LAL,0.482,247,-11,LAL,-12.2,10.7,1
2026-01-26,0022500662,HOU,MEM,229.8,3.0,HOU,0.679,207,9,HOU,22.8,-6.0,1
2026-01-26,0022500663,MIN,GSW,235.1,3.7,MIN,0.715,191,25,MIN,44.1,-21.3,1
2026-01-27,0022500664,WAS,POR,227.2,-2.4,POR,0.354,226,4,WAS,1.2,-6.4,0
2026-01-27,0022500665,NYK,SAC,227.1,6.7,NYK,0.841,190,16,NYK,37.1,-9.3,1
2026-01-27,0022500666,PHI,MIL,227.6,2.3,PHI,0.639,261,17,PHI,-33.4,-14.7,1
2026-01-27,0022500667,OKC,NOP,233.4,5.4,OKC,0.794,199,9,OKC,34.4,-3.6,1
2026-01-27,0022500668,DEN,DET,236.1,1.8,DEN,0.608,216,-2,DET,20.1,3.8,0
2026-01-27,0022500669,PHX,BKN,221.2,5.1,PHX,0.78,208,4,PHX,13.2,1.1,1
2026-01-27,0022500670,UTA,LAC,228.1,4.7,UTA,0.766,218,-12,LAC,10.1,16.7,0
2026-01-28,0022500671,CLE,LAL,236.6,1.4,CLE,0.59,228,30,CLE,8.6,-28.6,1
2026-01-28,0022500672,IND,CHI,227.8,-6.1,CHI,0.179,223,3,IND,4.8,-9.1,0
2026-01-28,0022500673,BOS,ATL,233.7,0.3,BOS,0.521,223,-11,ATL,10.7,11.3,0
2026-01-28,0022500674,MIA,ORL,233.6,3.2,MIA,0.69,257,-9,ORL,-23.4,12.2,0
2026-01-28,0022500675,TOR,NYK,231.0,-2.5,NYK,0.351,211,-27,NYK,20.0,24.5,1
2026-01-28,0022500676,MEM,CHA,228.8,-1.3,CHA,0.417,209,-15,CHA,19.8,13.7,1
2026-01-28,0022500677,DAL,MIN,234.4,-4.5,MIN,0.246,223,-13,MIN,11.4,8.5,1
2026-01-28,0022500678,UTA,GSW,232.4,1.2,UTA,0.574,264,-16,GSW,-31.6,17.2,0
2026-01-28,0022500679,HOU,SAS,232.9,0.0,HOU,0.503,210,-12,SAS,22.9,12.0,0
2026-01-29,0022500529,CHI,MIA,235.8,-0.1,MIA,0.493,229,-3,MIA,6.8,2.9,1
2026-01-29,0022500680,PHI,SAC,225.4,4.6,PHI,0.762,224,2,PHI,1.4,2.6,1
2026-01-29,0022500681,WAS,MIL,224.5,-0.5,MIL,0.469,208,10,WAS,16.5,-10.5,0
2026-01-29,0022500682,ATL,HOU,233.3,1.2,ATL,0.572,190,-18,HOU,43.3,19.2,0
2026-01-29,0022500683,DAL,CHA,229.8,-0.5,CHA,0.466,244,-2,CHA,-14.2,1.5,1
2026-01-29,0022500684,DEN,BKN,226.3,9.7,DEN,0.919,210,4,DEN,16.3,5.7,1
2026-01-29,0022500685,PHX,DET,231.0,-2.9,DET,0.326,210,18,PHX,21.0,-20.9,0
2026-01-29,0022500686,MIN,OKC,239.0,0.5,MIN,0.533,234,12,MIN,5.0,-11.5,1
