game_id,away_team,home_team,h1_total,h1_home,h1_away,h1_margin,h1_events,h1_n_2pt,h1_n_3pt,h1_n_foul,h1_n_rebound,h1_n_sub,h1_n_timeout,h1_n_turnover,home_pts_scored_avg_5,home_pts_allowed_avg_5,home_margin_avg_5,home_current_streak_5,home_days_since_last,home_is_back_to_back,home_efg,home_tor,home_tpar,home_ftr,home_orbp,home_team_id,home_wins_5,home_pts_scored_avg_10,home_pts_allowed_avg_10,home_margin_avg_10,home_wins_10,home_pts_scored_avg_20,home_pts_allowed_avg_20,home_margin_avg_20,home_wins_20,home_pts_scored_ewm_5,home_pts_allowed_ewm_5,home_margin_ewm_5,home_pts_scored_ewm_10,home_pts_allowed_ewm_10,home_margin_ewm_10,home_pts_scored_ewm_20,home_pts_allowed_ewm_20,home_margin_ewm_20,home_current_streak,home_is_3_in_4,home_pts_scored_home_avg_5,home_margin_home_avg_5,home_pts_scored_away_avg_5,home_margin_away_avg_5,home_margin_trend_5,home_pts_trend_5,home_margin_std_5,home_pts_scored_std_5,home_games_played,away_pts_scored_avg_5,away_pts_allowed_avg_5,away_margin_avg_5,away_current_streak_5,away_days_since_last,away_is_back_to_back,away_efg,away_tor,away_tpar,away_ftr,away_orbp,away_team_id,away_wins_5,away_pts_scored_avg_10,away_pts_allowed_avg_10,away_margin_avg_10,away_wins_10,away_pts_scored_avg_20,away_pts_allowed_avg_20,away_margin_avg_20,away_wins_20,away_pts_scored_ewm_5,away_pts_allowed_ewm_5,away_margin_ewm_5,away_pts_scored_ewm_10,away_pts_allowed_ewm_10,away_margin_ewm_10,away_pts_scored_ewm_20,away_pts_allowed_ewm_20,away_margin_ewm_20,away_current_streak,away_is_3_in_4,away_pts_scored_home_avg_5,away_margin_home_avg_5,away_pts_scored_away_avg_5,away_margin_away_avg_5,away_margin_trend_5,away_pts_trend_5,away_margin_std_5,away_pts_scored_std_5,away_games_played,season,game_date,final_total,final_margin,home_won,diff_current_streak,diff_days_since_last,diff_efg,diff_ftr,diff_games_played,diff_is_3_in_4,diff_is_back_to_back,diff_margin_avg_10,diff_margin_avg_20,diff_margin_avg_5,diff_margin_away_avg_5,diff_margin_diff_avg_5,diff_margin_ewm_10,diff_margin_ewm_20,diff_margin_ewm_5,diff_margin_std_5,diff_margin_trend_5,diff_orbp,diff_pts_allowed_avg_10,diff_pts_allowed_avg_20,diff_pts_allowed_avg_5,diff_pts_allowed_ewm_10,diff_pts_allowed_ewm_20,diff_pts_allowed_ewm_5,diff_pts_scored_avg_10,diff_pts_scored_avg_20,diff_pts_scored_avg_5,diff_pts_scored_away_avg_5,diff_pts_scored_diff_avg_5,diff_pts_scored_ewm_10,diff_pts_scored_ewm_20,diff_pts_scored_ewm_5,diff_pts_scored_std_5,diff_pts_trend_5,diff_tor,diff_tpar,diff_wins_10,diff_wins_20,diff_wins_5,pred_h2_total,pred_h2_margin,pred_total,pred_margin,pred_win_prob,pred_winner,actual_winner,correct_winner,total_error,margin_error
0022500761,DET,CHA,118.0,57.0,61.0,-4.0,275.0,47.0,38.0,19.0,44.0,72.0,5.0,13.0,63.6,51.2,12.4,0.0,1.0,1.0,0.5170454545454546,0.11618081960287283,0.3977272727272727,0.25,0.3181818181818182,3.0,5.0,57.4,51.5,5.9,7.0,59.25,53.1,6.15,13.0,60.8547811849617,53.25934867789786,7.595432507063836,59.84335201345927,52.293710109701316,7.549641903757949,59.22700397174494,53.03152119038579,6.195482781359158,5.0,1.0,54.0,0.0,60.0,8.6,-20.0,-3.0,10.139033484509259,3.9115214431215968,49.0,61.2,59.4,1.8,0.0,1.0,1.0,0.5368421052631579,0.12745812090313183,0.2736842105263158,0.37894736842105264,0.32608695652173914,8.0,3.0,58.7,52.7,6.0,7.0,59.95,55.6,4.35,14.0,59.046390924678626,59.2405830421347,-0.19419211745608647,59.62538239747783,56.46812889362097,3.1572535038568734,59.91473372262212,55.59766835445693,4.317065368165187,-1.0,0.0,54.0,0.0,62.4,2.2,-22.0,-12.0,10.963576058932592,11.454256850621077,46.0,26.0,20260209.0,214.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.99253496600501,5.549043978734685,225.992534966005,1.5490439787346846,0.6842889688006721,1,0,0,11.992534966004996,7.549043978734685
0022500762,CHI,BKN,114.0,60.0,54.0,6.0,302.0,66.0,28.0,19.0,59.0,54.0,5.0,18.0,54.6,63.4,-8.8,0.0,2.0,0.0,0.5641025641025641,0.12040280210157618,0.3717948717948718,0.24358974358974358,0.14285714285714285,28.0,2.0,55.5,65.2,-9.7,2.0,57.2,64.35,-7.15,6.0,54.5231082451123,64.22280101047483,-9.69969276536253,55.00099926387281,64.54787404967644,-9.546874785803633,56.02118595285685,64.74702458530341,-8.725838632446559,-1.0,0.0,54.6,-8.8,54.0,0.0,-14.0,-4.0,9.602083107326244,2.70185121722132,48.0,67.8,57.4,10.4,0.0,1.0,1.0,0.5161290322580645,0.121996996996997,0.3870967741935484,0.25806451612903225,0.21739130434782608,15.0,4.0,65.9,58.4,7.5,7.0,61.6,58.45,3.15,10.0,65.94011406673444,56.80910210474262,9.131011961991804,64.87188021980332,57.901480127607584,6.970400092195738,63.0626991391781,58.27030983512317,4.792389304054931,3.0,0.0,66.6,7.8,54.0,0.0,-4.0,-9.0,7.9246451024635824,7.596051605933181,48.0,26.0,20260209.0,238.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.77707582518791,-5.856302413958432,232.77707582518792,0.14369758604156768,0.5177478578387031,1,1,1,-5.2229241748120785,-7.856302413958432
0022500763,UTA,MIA,113.0,52.0,61.0,-9.0,310.0,44.0,48.0,20.0,63.0,60.0,4.0,18.0,58.2,57.2,1.0,0.0,1.0,1.0,0.4734042553191489,0.1418305597579425,0.40425531914893614,0.30851063829787234,0.2909090909090909,4.0,2.0,59.8,56.8,3.0,6.0,57.6,57.35,0.25,9.0,56.196034803687915,56.784069521116045,-0.5880347174281346,57.24392522401568,56.82137885930359,0.4225463647121055,57.40834170795739,57.20634011960855,0.2020015883488354,1.0,0.0,54.0,0.0,52.6,-2.6,-17.0,-17.0,12.825755338380661,7.2938330115241845,47.0,46.0,60.2,-14.2,0.0,1.0,1.0,0.5609756097560976,0.1258917331095258,0.4878048780487805,0.34146341463414637,0.2894736842105263,1.0,1.0,50.6,59.3,-8.7,3.0,51.4,57.6,-6.2,6.0,48.636562672865146,61.71526288551585,-13.0787002126507,49.69081351895197,60.295254775832056,-10.604441256880087,51.18345812511936,58.86739321722964,-7.6839350921102705,-3.0,0.0,54.0,0.0,45.2,-19.2,7.0,11.0,13.953494186045303,8.062257748298544,46.0,26.0,20260209.0,226.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0661031171238,6.534805364615765,230.06610311712382,-2.4651946353842353,0.2225973536929875,0,0,1,4.0661031171238164,1.5348053646157647
0022500764,MIL,ORL,105.0,51.0,54.0,-3.0,287.0,46.0,36.0,24.0,53.0,56.0,5.0,15.0,51.4,63.6,-12.2,0.0,2.0,0.0,0.6217948717948718,0.11618900077459333,0.4358974358974359,0.47435897435897434,0.08823529411764706,21.0,0.0,52.5,60.2,-7.7,2.0,56.05,59.7,-3.65,7.0,54.21123599337606,63.05919581208416,-8.8479598187081,54.19737122858677,61.60412889258395,-7.406757663997168,55.43281337178206,60.418431813340824,-4.985618441558754,-7.0,0.0,54.0,0.0,53.2,-8.0,10.0,6.0,7.293833011524188,7.092249290598857,46.0,52.4,58.4,-6.0,0.0,2.0,0.0,0.46938775510204084,0.08657175836860331,0.3877551020408163,0.09183673469387756,0.14,16.0,1.0,53.5,59.0,-5.5,3.0,54.75,58.6,-3.85,6.0,53.267513742536664,61.07424320866444,-7.8067294661277575,53.325573645756506,59.96246954422136,-6.63689589846485,54.13154431788202,59.3677544878161,-5.236210169934075,-3.0,0.0,54.0,0.0,56.4,-1.4,4.0,9.0,13.095800853708797,7.162401831787992,45.0,26.0,20260209.0,217.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.9423706720981,7.187158937086324,219.9423706720981,4.187158937086324,0.9026377530026022,1,1,1,2.942370672098093,-14.812841062913677
0022500765,ATL,MIN,137.0,81.0,56.0,25.0,281.0,54.0,46.0,15.0,52.0,54.0,5.0,16.0,55.2,50.4,4.8,0.0,1.0,1.0,0.6292134831460674,0.18826793499801822,0.5280898876404494,0.20224719101123595,0.375,17.0,3.0,55.8,53.7,2.1,6.0,56.95,55.85,1.1,12.0,54.97069794964007,48.973888088153,5.996809861487066,55.62730531577702,52.15189551161007,3.4754098041669583,56.360627296755844,54.469602336087675,1.8910249606681646,2.0,0.0,54.0,0.0,58.2,3.4,11.0,0.0,7.29383301152419,5.890670590009243,48.0,58.4,58.333333333333336,0.0,0.0,2.0,0.0,0.54,0.1358695652173913,0.41304347826086957,0.25609756097560976,0.2564102564102564,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,20260209.0,254.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.66771246269566,-16.609386350376518,249.66771246269565,8.390613649623482,0.9953184577205693,1,1,1,-4.332287537304353,-13.609386350376518
0022500766,SAC,NOP,107.0,61.0,46.0,15.0,267.0,56.0,35.0,16.0,52.0,56.0,6.0,15.0,55.6,58.4,-2.8,0.0,3.0,0.0,0.5340909090909091,0.14934289127837516,0.375,0.29545454545454547,0.3181818181818182,18.0,1.0,58.2,58.8,-0.6,4.0,58.15,61.3,-3.15,6.0,54.35796699716205,55.26117412740178,-0.9032071302397267,56.482643423701106,58.21157388075374,-1.7289304570526343,57.37651514214026,59.80347823463326,-2.426963092493011,-1.0,0.0,54.0,0.0,56.4,-3.0,8.0,-8.0,7.19027120489902,6.228964600958974,49.0,60.4,62.0,-1.6,0.0,1.0,1.0,0.43373493975903615,0.1519756838905775,0.37349397590361444,0.27710843373493976,0.3333333333333333,25.0,2.0,60.3,60.8,-0.5,5.0,57.1,60.55,-3.45,8.0,57.84981276320895,61.67048090084443,-3.8206681376354794,58.60765200880345,61.448392274197296,-2.840740265393837,57.802318950375344,60.964259178424136,-3.1619402280488016,-3.0,0.0,54.0,0.0,60.0,-4.2,-15.0,-7.0,8.414273587185052,8.1117199162693,49.0,26.0,20260209.0,214.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.27387694275843,-7.93534288719488,208.27387694275842,7.06465711280512,0.9856603361927706,1,1,1,-5.72612305724158,-18.935342887194878
0022500767,CLE,DEN,113.0,59.0,54.0,5.0,285.0,49.0,45.0,23.0,55.0,56.0,4.0,15.0,55.4,49.2,6.2,0.0,1.0,1.0,0.6575342465753424,0.13032145960034752,0.3835616438356164,0.4383561643835616,0.23333333333333334,7.0,4.0,55.8,53.2,2.6,6.0,56.8,55.65,1.15,9.0,54.89493192223694,50.08531712403287,4.809614798204073,55.09131900305977,52.142325973800745,2.9489930292590194,56.55827551115009,54.06329968553695,2.494975825613148,1.0,0.0,55.4,-0.8,54.0,0.0,1.0,-7.0,8.72926113711807,11.349008767288886,48.0,59.4,52.4,7.0,0.0,2.0,0.0,0.5412371134020618,0.20400593471810088,0.4948453608247423,0.1134020618556701,0.32,5.0,4.0,58.8,55.6,3.2,6.0,59.1,58.1,1.0,11.0,58.52090795270837,54.96483539161894,3.556072561089427,58.61848465786829,55.78052637964246,2.837958278225838,58.480584370807435,57.025820320053484,1.4547640507539545,3.0,0.0,59.8,-0.6,54.0,0.0,-22.0,1.0,10.222524150130441,5.319774431308153,48.0,26.0,20260209.0,236.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.96391081481431,-0.8158502731073669,239.9639108148143,4.184149726892633,0.9024772732061305,1,0,0,3.9639108148143123,6.184149726892633
0022500768,MEM,GSW,122.0,57.0,65.0,-8.0,293.0,50.0,38.0,22.0,49.0,76.0,4.0,12.0,50.6,55.8,-5.2,0.0,2.0,0.0,0.5444444444444444,0.16014234875444838,0.5777777777777777,0.3888888888888889,0.22448979591836735,9.0,2.0,57.4,56.1,1.3,6.0,58.8,57.9,0.9,12.0,54.97594271118078,54.73753205083482,0.23841066034594458,55.9713508869789,55.924585668653265,0.046765218325633934,56.99333190293745,56.51658272490689,0.4767491780305682,1.0,0.0,54.0,0.0,50.8,-2.0,33.0,18.0,13.084341787036903,10.899541274750971,49.0,61.0,58.4,2.6,0.0,2.0,0.0,0.4946236559139785,0.1851851851851852,0.44086021505376344,0.16129032258064516,0.36363636363636365,14.0,3.0,59.1,56.5,2.6,6.0,60.75,58.2,2.55,11.0,58.64011759268258,58.169974503962926,0.47014308871965865,59.89301744715535,57.8032819914737,2.0897354556816463,60.04772167506419,57.911565822589296,2.136155852474895,-1.0,0.0,62.4,4.2,54.0,0.0,-26.0,-17.0,10.714476188783099,7.516648189186449,45.0,26.0,20260209.0,227.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.76819144554223,9.105645420010523,227.76819144554224,1.1056454200105232,0.6339785699351119,1,1,1,0.768191445542243,0.10564542001052324
0022500769,OKC,LAL,125.0,58.0,67.0,-9.0,269.0,61.0,30.0,16.0,47.0,58.0,5.0,16.0,54.8,52.8,2.0,0.0,1.0,1.0,0.5252525252525253,0.17241379310344826,0.48484848484848486,0.10101010101010101,0.3269230769230769,29.0,2.0,54.9,58.8,-3.9,3.0,57.75,59.9,-2.15,9.0,56.61855510910625,52.633968734254324,3.9845863748519124,56.39024645210384,56.10572184325093,0.28452460885290687,56.77946736659978,58.65960285263507,-1.8801354860352673,2.0,0.0,53.2,1.6,54.0,0.0,15.0,4.0,8.573214099741122,5.54075807087803,46.0,57.2,52.0,5.2,0.0,2.0,0.0,0.5406976744186046,0.15182186234817815,0.36046511627906974,0.23255813953488372,0.2619047619047619,20.0,3.0,56.1,54.4,1.7,6.0,58.8,56.15,2.65,13.0,53.75448760711049,51.66435626114961,2.0901313459608843,55.982048357019174,53.178467353873174,2.8035810031460207,57.63330063107643,53.941588799355195,3.691711831721232,1.0,0.0,52.0,-1.8,54.0,0.0,-13.0,-18.0,10.709808588392232,9.628083921528722,48.0,26.0,20260209.0,229.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.68086057268833,7.9094158453079215,230.68086057268835,-1.0905841546920785,0.3677776839265692,0,0,1,1.6808605726883457,7.9094158453079215
0022500770,PHI,POR,129.0,64.0,65.0,-1.0,280.0,45.0,44.0,19.0,47.0,58.0,4.0,18.0,53.2,55.8,-2.6,0.0,2.0,0.0,0.5808080808080808,0.12725137039937354,0.45454545454545453,0.1414141414141414,0.35555555555555557,19.0,2.0,54.8,57.4,-2.6,4.0,57.4,59.5,-2.1,8.0,52.466792901322684,54.204516883158,-1.7377239818353092,54.21922964591135,56.330715797733895,-2.1114861518225463,56.224984967798534,57.66902066362666,-1.4440356958281189,-1.0,0.0,54.0,0.0,54.6,-4.0,24.0,0.0,17.798876369029585,6.534523701081826,46.0,62.4,65.4,-3.0,0.0,2.0,0.0,0.5609756097560976,0.1718213058419244,0.3170731707317073,0.2804878048780488,0.40540540540540543,25.0,2.0,60.0,59.6,0.4,6.0,57.25,60.95,-3.7,8.0,59.774719151605915,62.50572135421399,-2.7310022026080722,59.631641833795435,61.77027833428633,-2.1386365004908745,58.20587090303538,61.06659900824956,-2.860728105214192,-2.0,1.0,54.0,0.0,60.4,-4.2,12.0,-13.0,9.797958971132712,7.334848328356899,48.0,26.0,20260209.0,253.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.58664987086304,2.6646268365410446,244.58664987086303,1.6646268365410446,0.6969056095091896,1,1,1,-8.413350129136973,-15.335373163458955
