game_id,away_team,home_team,h1_total,h1_home,h1_away,h1_margin,h1_events,h1_n_2pt,h1_n_3pt,h1_n_foul,h1_n_rebound,h1_n_sub,h1_n_timeout,h1_n_turnover,home_pts_scored_avg_5,home_pts_allowed_avg_5,home_margin_avg_5,home_current_streak_5,home_days_since_last,home_is_back_to_back,home_efg,home_tor,home_tpar,home_ftr,home_orbp,home_team_id,away_pts_scored_avg_5,away_pts_allowed_avg_5,away_margin_avg_5,away_current_streak_5,away_days_since_last,away_is_back_to_back,away_efg,away_tor,away_tpar,away_ftr,away_orbp,away_team_id,season,game_date,final_total,final_margin,home_won,pred_h2_total,pred_h2_margin,pred_total,pred_margin,pred_win_prob,pred_winner,actual_winner,correct_winner,total_error,margin_error
0022500775,ATL,CHA,107.0,58.0,49.0,9.0,302.0,44.0,44.0,22.0,62.0,62.0,4.0,13.0,115.0,112.0,3.0,0.0,2.0,0.0,0.52,0.12,0.35,0.25,0.25,0.0,113.0,114.0,-1.0,0.0,2.0,0.0,0.51,0.13,0.34,0.24,0.24,0.0,26.0,20260211.0,217.0,3.0,1.0,117.2602871657893,-4.849423256929562,224.2602871657893,4.150576743070438,0.01877794661956056,1,1,1,7.260287165789293,1.1505767430704381
0022500776,WAS,CLE,137.0,76.0,61.0,15.0,293.0,50.0,41.0,22.0,52.0,46.0,5.0,15.0,115.0,112.0,3.0,0.0,2.0,0.0,0.52,0.12,0.35,0.25,0.25,0.0,113.0,114.0,-1.0,0.0,2.0,0.0,0.51,0.13,0.34,0.24,0.24,0.0,26.0,20260211.0,251.0,25.0,1.0,103.5117650046726,-8.164587669813931,240.5117650046726,6.8354123301860685,0.00023143356034438511,1,1,1,-10.488234995327389,-18.164587669813933
0022500777,MIL,ORL,103.0,51.0,52.0,-1.0,247.0,37.0,46.0,15.0,49.0,48.0,4.0,12.0,115.0,112.0,3.0,0.0,2.0,0.0,0.52,0.12,0.35,0.25,0.25,0.0,113.0,114.0,-1.0,0.0,2.0,0.0,0.51,0.13,0.34,0.24,0.24,0.0,26.0,20260211.0,224.0,-8.0,0.0,109.18299626442845,4.275825601970784,212.18299626442845,3.2758256019707837,0.9666494290065851,1,0,0,-11.817003735571546,11.275825601970784
0022500778,CHI,BOS,116.0,72.0,44.0,28.0,266.0,54.0,36.0,14.0,48.0,62.0,4.0,13.0,115.0,112.0,3.0,0.0,2.0,0.0,0.52,0.12,0.35,0.25,0.25,0.0,113.0,114.0,-1.0,0.0,2.0,0.0,0.51,0.13,0.34,0.24,0.24,0.0,26.0,20260211.0,229.0,19.0,1.0,107.70185646996785,-20.27242073489278,223.70185646996785,7.72757926510722,0.0,1,1,1,-5.298143530032149,-11.27242073489278
0022500779,IND,BKN,117.0,64.0,53.0,11.0,281.0,55.0,42.0,15.0,60.0,56.0,6.0,8.0,115.0,112.0,3.0,0.0,2.0,0.0,0.52,0.12,0.35,0.25,0.25,0.0,113.0,114.0,-1.0,0.0,2.0,0.0,0.51,0.13,0.34,0.24,0.24,0.0,26.0,20260211.0,225.0,-5.0,0.0,110.91634654810795,-7.052278856662522,227.91634654810795,3.9477211433374784,0.0012457947443648143,1,0,0,2.9163465481079527,8.947721143337478
0022500780,NYK,PHI,114.0,42.0,72.0,-30.0,293.0,61.0,35.0,17.0,55.0,60.0,4.0,19.0,115.0,112.0,3.0,0.0,2.0,0.0,0.52,0.12,0.35,0.25,0.25,0.0,113.0,114.0,-1.0,0.0,2.0,0.0,0.51,0.13,0.34,0.24,0.24,0.0,26.0,20260211.0,227.0,-49.0,0.0,120.3519672657431,30.4221150683056,234.3519672657431,0.42211506830560097,1.0,1,0,0,7.351967265743099,49.4221150683056
0022500781,DET,TOR,119.0,52.0,67.0,-15.0,286.0,45.0,35.0,24.0,44.0,64.0,5.0,20.0,115.0,112.0,3.0,0.0,2.0,0.0,0.52,0.12,0.35,0.25,0.25,0.0,113.0,114.0,-1.0,0.0,2.0,0.0,0.51,0.13,0.34,0.24,0.24,0.0,26.0,20260211.0,208.0,-18.0,0.0,102.64795026560505,17.40856877375285,221.64795026560506,2.408568773752851,0.9999999999999586,1,0,0,13.647950265605061,20.40856877375285
0022500782,LAC,HOU,102.0,56.0,46.0,10.0,227.0,45.0,33.0,7.0,39.0,50.0,4.0,15.0,115.0,112.0,3.0,0.0,2.0,0.0,0.52,0.12,0.35,0.25,0.25,0.0,113.0,114.0,-1.0,0.0,2.0,0.0,0.51,0.13,0.34,0.24,0.24,0.0,26.0,20260211.0,207.0,-3.0,0.0,102.26237668046532,-5.602293860524886,204.2623766804653,4.397706139475114,0.008140899716089778,1,0,0,-2.7376233195346913,7.397706139475114
0022500783,POR,MIN,112.0,61.0,51.0,10.0,274.0,49.0,45.0,14.0,53.0,58.0,4.0,19.0,115.0,112.0,3.0,0.0,2.0,0.0,0.52,0.12,0.35,0.25,0.25,0.0,113.0,114.0,-1.0,0.0,2.0,0.0,0.51,0.13,0.34,0.24,0.24,0.0,26.0,20260211.0,242.0,24.0,1.0,119.23569274142585,-5.154536417838329,231.23569274142585,4.845463582161671,0.013534668046450649,1,1,1,-10.76430725857415,-19.15453641783833
0022500784,MIA,NOP,113.0,55.0,58.0,-3.0,281.0,55.0,43.0,17.0,61.0,52.0,4.0,9.0,115.0,112.0,3.0,0.0,2.0,0.0,0.52,0.12,0.35,0.25,0.25,0.0,113.0,114.0,-1.0,0.0,2.0,0.0,0.51,0.13,0.34,0.24,0.24,0.0,26.0,20260211.0,234.0,-12.0,0.0,111.94007717604363,5.9499046118920225,224.94007717604364,2.9499046118920225,0.9946386636562792,1,0,0,-9.059922823956356,14.949904611892023
