fold,model,n_train,n_test,tuned,tune_score,params,mae_total,rmse_total,mae_margin,rmse_margin,pi80_cov_total,pi80_cov_margin,pi80_width_total,pi80_width_margin,brier_win,sigma_total,sigma_margin,sigma_k_total,sigma_k_margin,n_cal
1,xgboost,800,200,True,24.833190146536438,"{""colsample_bytree"": 0.7324877744180246, ""learning_rate"": 0.025156461561506898, ""max_depth"": 3, ""min_child_weight"": 9.234132342783907, ""n_estimators"": 300, ""reg_lambda"": 0.6138268777271145, ""subsample"": 0.6803740475697836}",7.256493606567383,9.113406019059841,5.753404258489609,7.082258889164842,0.32,0.335,6.299056529998779,6.576751232147217,0.1906262683781664,2.4575884948435402,2.565933009795967,0.6482744635580141,1.2362497739941865,120.0
1,catboost,800,200,True,25.648511663074352,"{""depth"": 4, ""iterations"": 1700, ""l2_leaf_reg"": 9.571209673947427, ""learning_rate"": 0.023865043662235647, ""random_seed"": 43, ""subsample"": 0.6849073687140169}",6.354357538381414,7.892367030435529,5.528923964473453,6.729381888961648,0.205,0.135,4.262623469323471,1.7735223525226365,0.2087084161438412,1.663071383129263,0.6919434224127265,3.0,3.0,120.0
2,xgboost,1000,200,True,23.43632249593559,"{""colsample_bytree"": 0.9394747990844091, ""learning_rate"": 0.025971964832886007, ""max_depth"": 4, ""min_child_weight"": 5.233206599707721, ""n_estimators"": 300, ""reg_lambda"": 5.878756218255986, ""subsample"": 0.6728795954496755}",11.35901336669922,14.813970235505833,6.419017750732601,8.436057528533858,0.145,0.48,6.566009521484375,7.115656852722168,0.1465713718529716,2.561744575749753,2.7761884960207253,0.9962475806259848,2.111858221165329,150.0
2,catboost,1000,200,True,24.389062060828294,"{""depth"": 5, ""iterations"": 1100, ""l2_leaf_reg"": 3.099072615172796, ""learning_rate"": 0.01862230149276023, ""random_seed"": 44, ""subsample"": 0.928101220679876}",10.875959026193676,14.31763576214644,6.179565346266344,8.095554381075866,0.25,0.23,7.3527596411324225,3.7036390585059467,0.12777043117080655,2.8686944165246406,1.4449824564538964,2.8786801091821173,3.0,150.0
3,xgboost,1200,200,True,23.847084758951986,"{""colsample_bytree"": 0.9820605736890615, ""learning_rate"": 0.02330240072640659, ""max_depth"": 3, ""min_child_weight"": 2.4446859629730824, ""n_estimators"": 500, ""reg_lambda"": 4.532136414328664, ""subsample"": 0.6982662609793581}",8.244794998168945,10.015424668185114,5.833736034668982,7.04089784978926,0.285,0.325,7.331650257110596,7.2598700523376465,0.16472352808251578,2.8604604239874587,2.8324530361299733,0.7924984749092278,1.488870402735298,180.0
3,catboost,1200,200,True,24.659552267738274,"{""depth"": 4, ""iterations"": 1500, ""l2_leaf_reg"": 11.716865836541087, ""learning_rate"": 0.03473896483370064, ""random_seed"": 45, ""subsample"": 0.9693311691180311}",7.479538800449002,9.491653593898793,5.738568211513121,6.79610004051421,0.375,0.13,7.2456775099742865,3.1479472689989727,0.19200114593265763,2.8269161010681665,1.2281781528085605,3.0,3.0,180.0
4,xgboost,1400,200,True,23.57021540375854,"{""colsample_bytree"": 0.6542743156465278, ""learning_rate"": 0.02791347775532797, ""max_depth"": 3, ""min_child_weight"": 2.2010349980533164, ""n_estimators"": 600, ""reg_lambda"": 3.391040701045154, ""subsample"": 0.8598836380607335}",8.308171577453614,10.661693537793234,5.424968498796225,6.647517674599144,0.195,0.4,6.5648193359375,6.710151195526123,0.08404426444450848,2.5612762587379545,2.6179789547971435,0.8803601374632389,1.8386659604809112,210.0
4,catboost,1400,200,True,22.86609954270228,"{""depth"": 4, ""iterations"": 800, ""l2_leaf_reg"": 7.710184613190289, ""learning_rate"": 0.0192407765275826, ""random_seed"": 46, ""subsample"": 0.9650630465683864}",8.251520739848914,10.473129127083332,4.888270882995594,6.176185365329506,0.215,0.41,6.086519458400944,6.387333958842497,0.08245433116031109,2.374668184270239,2.4920315852168518,0.5638185634582257,1.0749645500915967,210.0
5,xgboost,1600,200,True,22.656532398438173,"{""colsample_bytree"": 0.6858053188732385, ""learning_rate"": 0.040399771053504716, ""max_depth"": 3, ""min_child_weight"": 8.722154015220745, ""n_estimators"": 400, ""reg_lambda"": 0.2846432614076128, ""subsample"": 0.7577207671262858}",7.731369247436524,9.831271450921228,5.192298169732094,6.497813231979475,0.21,0.435,7.044830322265625,6.967151641845703,0.17512988167912105,2.7485540573220555,2.718248704704057,0.8807448264544742,1.777725865523047,240.0
5,catboost,1600,200,True,22.53149009438599,"{""depth"": 4, ""iterations"": 1300, ""l2_leaf_reg"": 2.1097226557326225, ""learning_rate"": 0.015767965918035285, ""random_seed"": 47, ""subsample"": 0.874299487233649}",7.353024110959313,9.34317569978713,4.806975147601167,6.086672772076831,0.265,0.46,7.145433008622547,6.886109052168931,0.15871925113908283,2.787805501055306,2.6866297218569786,0.892391164766126,1.770729431243498,240.0
6,xgboost,1800,200,True,22.303433482826858,"{""colsample_bytree"": 0.8389066742658584, ""learning_rate"": 0.02293548617875868, ""max_depth"": 3, ""min_child_weight"": 6.392802331442429, ""n_estimators"": 600, ""reg_lambda"": 0.8850085808033461, ""subsample"": 0.8702570373515434}",7.725669746398926,10.298205316705184,5.0670703453570605,6.206953110384916,0.315,0.42,7.001617431640625,6.512656211853027,0.12627982335721827,2.731695301459239,2.5409261745134084,0.6771384971749895,1.3414637403758227,270.0
6,catboost,1800,200,True,21.751377781930206,"{""depth"": 4, ""iterations"": 900, ""l2_leaf_reg"": 1.6995752276801885, ""learning_rate"": 0.01620336491880134, ""random_seed"": 48, ""subsample"": 0.8408302423001617}",8.037100337227523,10.607174190217059,4.999498332760859,5.966070813701459,0.31,0.36,6.887564034255519,6.6937078897427655,0.1161251745670306,2.6871973861342915,2.611564009481837,0.5735536362129162,1.0753456449027448,270.0
7,xgboost,2000,200,True,22.004018399639083,"{""colsample_bytree"": 0.7955512053809431, ""learning_rate"": 0.024036032864590925, ""max_depth"": 3, ""min_child_weight"": 8.689056835466818, ""n_estimators"": 600, ""reg_lambda"": 6.3395552963061235, ""subsample"": 0.7438832199449769}",8.15954231262207,10.811942843236789,4.947161474525928,6.029449269100913,0.31,0.37,6.703201770782471,6.603825092315674,0.11626384311766534,2.615267936305361,2.576496031464739,0.5880691699204523,1.168715791115815,300.0
7,catboost,2000,200,True,23.45046764084036,"{""depth"": 5, ""iterations"": 2300, ""l2_leaf_reg"": 6.771807220340495, ""learning_rate"": 0.04677897146903771, ""random_seed"": 49, ""subsample"": 0.9636805353349407}",8.59652992338314,11.164789597533039,4.31976237764116,5.769240918234615,0.095,0.09,1.79614801749544,0.6563333160663245,0.14701968948660146,0.7007708725056881,0.2560698038659933,3.0,3.0,300.0
8,xgboost,2200,200,True,21.54062264807256,"{""colsample_bytree"": 0.8443365429390117, ""learning_rate"": 0.03022021004027433, ""max_depth"": 3, ""min_child_weight"": 4.964073557695768, ""n_estimators"": 600, ""reg_lambda"": 1.430651409438828, ""subsample"": 0.7023829269597541}",7.3332353210449215,10.734439218955076,5.086674345433712,6.586329657920977,0.34,0.46,6.527618408203125,6.897721767425537,0.10061245221826136,2.546764653943605,2.6911605904795666,0.7239924744553483,1.5838589610598064,330.0
8,catboost,2200,200,True,22.636873000039973,"{""depth"": 5, ""iterations"": 1600, ""l2_leaf_reg"": 11.21195862517048, ""learning_rate"": 0.031172134648513917, ""random_seed"": 50, ""subsample"": 0.9682124532973715}",7.5765490941872535,10.504299278440415,4.825262516290024,5.939761877255857,0.28,0.175,6.325437416124567,4.1481567271663975,0.08957922101681572,2.467882520761675,1.6184119463829858,2.2832873744495634,3.0,330.0
9,xgboost,2400,200,True,21.919721205917465,"{""colsample_bytree"": 0.8212227562881039, ""learning_rate"": 0.09444240498490908, ""max_depth"": 3, ""min_child_weight"": 9.786707111554591, ""n_estimators"": 300, ""reg_lambda"": 1.7097254463576692, ""subsample"": 0.6586345467524032}",9.249756317138672,12.075030817895897,5.204915005229413,6.830191467191844,0.255,0.44,6.998626708984375,6.967917442321777,0.1072153038028907,2.730531442327484,2.7185473116698473,1.0211597082626618,2.012594820150711,360.0
9,catboost,2400,200,True,22.781163730377212,"{""depth"": 6, ""iterations"": 700, ""l2_leaf_reg"": 3.0246746156561057, ""learning_rate"": 0.029395745959469286, ""random_seed"": 51, ""subsample"": 0.6710961819699877}",9.622729146841575,12.367404107902164,5.5397933148976435,7.214637640296581,0.2,0.41,7.1312564741011215,7.5889874063149705,0.13405010968742012,2.7822744967232986,2.960859168819321,1.3939410692937377,2.8017045837106687,360.0
