fold,model,n_train,n_test,tuned,tune_score,params,mae_total,rmse_total,mae_margin,rmse_margin,pi80_cov_total,pi80_cov_margin,pi80_width_total,pi80_width_margin,brier_win,sigma_total,sigma_margin,sigma_k_total,sigma_k_margin,n_cal
1,ridge,1000,200,False,,,9.540586469157119e-05,0.00011817512789659677,0.00014493004257899346,0.00018451188253896616,1.0,1.0,0.0768930939326539,0.07689309393267592,0.0,0.03,0.03,3.0,3.0,150.0
1,random_forest,1000,200,False,,,0.2517378224206338,1.497260656808772,0.07371027777777778,0.5076810240331306,0.99,0.98,5.894430891785933,0.8293500292836801,2.994672797856971e-08,2.2997244317988454,0.32357263319765217,0.8643967390366666,0.813000041586653,150.0
1,gbt,1000,200,False,,,1.512111576098592,2.9040365747935355,0.5349771090668656,1.3148323306536263,0.775,0.81,3.914168479991531,1.2658904791834236,1.4448415008440493e-05,1.5271209466816102,0.4938897946901879,0.5,0.6242966907916119,150.0
1,xgboost,1000,200,True,7.668504773814235,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 3.0, ""n_estimators"": 941, ""n_jobs"": -1, ""reg_lambda"": 0.5, ""subsample"": 0.8}",0.6345777130126953,1.9089766761569973,0.33940622001886367,0.54737684921727,0.96,0.785,3.1241455078125,0.996921718120575,6.503352297203228e-07,1.2188885526801057,0.3889510792153949,2.8632112363797955,2.696369109220596,150.0
1,catboost,1000,200,True,8.553778704833311,"{""depth"": 4, ""iterations"": 2728, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.02, ""subsample"": 0.8}",0.3768541354890897,1.6970224889600645,0.1704521334524942,0.2790118908565989,0.885,0.925,0.9903734329295135,0.7961490624795232,3.6508785620611185e-06,0.38639624793741706,0.3106192071722049,2.5902925276782884,3.0,150.0
2,ridge,1200,200,False,,,7.615100470133029e-05,9.471572591225593e-05,0.00015129639189050026,0.00018643003439398673,1.0,1.0,0.07689309393265376,0.07689309393267596,0.0,0.03,0.03,3.0,3.0,180.0
2,random_forest,1200,200,False,,,0.2777695364357865,1.2363810051666433,0.07448063988095248,0.5670238605327055,0.94,0.98,2.9838039176659095,0.8113495218408023,3.4446407562263525e-08,1.1641372840108521,0.3165496979031101,0.5,0.991528695176331,180.0
2,gbt,1200,200,False,,,1.2836512137626852,2.056807081458072,0.43985398243024465,1.0792497990553025,0.8,0.845,3.623007819633017,1.092746446752192,1.629399306962694e-05,1.4135240114561378,0.4263372915032978,0.5,0.6367579735403458,180.0
2,xgboost,1200,200,True,6.270722789602332,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 3.0, ""n_estimators"": 1263, ""n_jobs"": -1, ""reg_lambda"": 0.5, ""subsample"": 1.0}",0.8182961654663086,7.883333718666933,0.06086482405662537,0.32012545774137663,0.88,0.93,0.509765625,0.0768931582570076,0.0,0.19888318446872155,0.03,3.0,3.0,180.0
2,catboost,1200,200,True,6.733239272682533,"{""depth"": 4, ""iterations"": 1495, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""subsample"": 1.0}",0.4466506971803766,1.2560550974360734,0.16687457051560173,0.2612329132520371,0.84,0.955,1.0804894557474558,0.9804520995594352,2.2102343614122308e-07,0.4215552010536144,0.3825254191557981,1.6063400925366764,2.805117317764597,180.0
