fold,model,n_train,n_test,tuned,tune_score,params,mae_total,rmse_total,mae_margin,rmse_margin,pi80_cov_total,pi80_cov_margin,pi80_width_total,pi80_width_margin,brier_win,sigma_total,sigma_margin,sigma_k_total,sigma_k_margin,n_cal
1,ridge,1000,200,False,,,0.00019444794063087301,0.00023990098191325308,0.00011424045853224485,0.00014075808683376907,1.0,1.0,0.07689309393268218,0.0768930939326759,0.018763526098271987,0.03,0.03,3.0,3.0,150.0
1,random_forest,1000,200,False,,,0.07321031249999965,0.3025580755820326,0.012527356150793603,0.07375585903280381,0.96,0.99,1.3560221289373278,0.8885162308612159,0.01875034536715034,0.5290548446878489,0.34665644939680496,1.1175343433038925,2.4091537283597257,150.0
1,gbt,1000,200,False,,,0.6029718407982575,1.3695674347860205,0.16019604833103457,0.32472776307205964,0.855,0.935,1.366388191958209,0.8351555927611646,0.016939661596140146,0.5330991856646686,0.32583768582353606,0.6933493210641841,1.1873943317163551,150.0
1,xgboost,1000,200,True,2.654402035386223,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 3.0, ""n_estimators"": 1119, ""n_jobs"": -1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.11275192260742188,0.45793402080354967,0.016070173365151277,0.08858510444532455,0.75,0.95,0.07688985764980316,0.07689295709133148,0.021317093792597556,0.03,0.03,3.0,3.0,150.0
1,catboost,1000,200,True,3.7459533399017517,"{""depth"": 4, ""iterations"": 2728, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.02, ""subsample"": 0.8}",0.1457206875446334,0.25967904710250433,0.08033808914551509,0.11433195867275617,0.91,0.94,0.5809018245492991,0.40254907913056565,0.03311336415656767,0.22664005107841112,0.15705535772159918,3.0,3.0,150.0
2,ridge,1200,200,False,,,0.0001492782745711807,0.00018423666759567308,0.00010655209337414817,0.00013235168974479796,1.0,1.0,0.07689309393268218,0.07689309393267595,0.007521286110680461,0.03,0.03,3.0,3.0,180.0
2,random_forest,1200,200,False,,,0.026927832341269494,0.16106376972647313,0.024946278409090816,0.19076159262089581,0.985,0.985,0.8769487702626031,0.8929509274207856,0.007500399211303701,0.3421433806644957,0.3483866554528078,0.832611562884693,2.803347248622166,180.0
2,gbt,1200,200,False,,,0.4137617729294311,0.8668797147800026,0.18018521206974938,0.4420821717330626,0.835,0.945,1.056878307673626,1.0171883644032604,0.006619492090023778,0.41234326268584276,0.39685814904022326,0.5278787815461905,1.4410466108045838,180.0
2,xgboost,1200,200,True,1.6701612715870475,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 3.0, ""n_estimators"": 1263, ""n_jobs"": -1, ""reg_lambda"": 0.5, ""subsample"": 1.0}",0.05016305923461914,0.17560812355297137,0.021986772480158834,0.09875506609213763,0.835,0.92,0.07689020037651062,0.07689294964075089,0.0071012406247832486,0.03,0.03,3.0,3.0,180.0
2,catboost,1200,200,True,2.261339746930878,"{""depth"": 4, ""iterations"": 1495, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.02, ""subsample"": 1.0}",0.1535921987874184,0.297922072507438,0.07717938574206305,0.1065489812034075,0.96,0.975,0.8916581682132687,0.540482455645068,0.006556951049749556,0.34788228276805633,0.2108703505096135,3.0,3.0,180.0
