fold,model,n_train,n_test,tuned,tune_score,params,mae_total,rmse_total,mae_margin,rmse_margin,pi80_cov_total,pi80_cov_margin,pi80_width_total,pi80_width_margin,brier_win
1,catboost,800,200,True,34.543552342318705,"{""iterations"": 301, ""learning_rate"": 0.025145771857404582, ""depth"": 6, ""l2_leaf_reg"": 7.652070600734046, ""subsample"": 0.8004252160435406}",16.943846977307157,26.77390536670676,11.760300882637264,14.960982370309758,0.325,0.385,16.989668312333663,13.076554177948394,0.25277383332305586
2,catboost,1000,200,True,36.766055562091424,"{""iterations"": 315, ""learning_rate"": 0.01891457998166587, ""depth"": 5, ""l2_leaf_reg"": 6.479998138137086, ""subsample"": 0.6548157158288594}",14.84858500701942,18.723105069608195,10.694531148744012,13.681691907851105,0.455,0.415,21.343459622840502,14.958165310870706,0.21242559630935948
3,catboost,1200,200,True,36.54983563138469,"{""iterations"": 336, ""learning_rate"": 0.015319762107953001, ""depth"": 4, ""l2_leaf_reg"": 2.413247317247272, ""subsample"": 0.8278093771909983}",14.403320214872702,18.121982792433382,11.523668768842576,14.726713519061088,0.445,0.435,21.3424101326724,15.633559551639848,0.208275788379288
4,catboost,1400,200,True,36.85080005752728,"{""iterations"": 325, ""learning_rate"": 0.02104901027857112, ""depth"": 5, ""l2_leaf_reg"": 7.865020211812074, ""subsample"": 0.7887479173490793}",14.48888145981282,18.1585773833015,11.132544365400586,14.423109044827953,0.425,0.425,21.333954840622937,15.53931858973482,0.2596713091178031
5,catboost,1600,200,True,36.61264655063658,"{""iterations"": 331, ""learning_rate"": 0.01790488584075063, ""depth"": 4, ""l2_leaf_reg"": 8.832058223801413, ""subsample"": 0.7365803423499331}",16.609904034211237,20.116901567378488,10.535551660005813,13.396271582214704,0.365,0.49,22.217759298548064,16.4632229419796,0.21456171601956478
6,catboost,1800,200,True,36.62061287691369,"{""iterations"": 300, ""learning_rate"": 0.015007805207675962, ""depth"": 5, ""l2_leaf_reg"": 6.049411469332496, ""subsample"": 0.8427838738430597}",15.186338843072217,19.344807574745786,10.939122698186324,14.385087839896238,0.455,0.47,22.403907620005953,16.358495352378267,0.23552340432451044
7,catboost,2000,200,True,36.6239753215716,"{""iterations"": 309, ""learning_rate"": 0.016518778223577543, ""depth"": 4, ""l2_leaf_reg"": 3.0810453913995244, ""subsample"": 0.746025663693037}",14.447122897618923,17.585089618910665,12.490468308204882,15.670918938664876,0.435,0.4,22.42171176228601,16.652523424871646,0.24907877734263414
8,catboost,2200,200,True,36.91318007102315,"{""iterations"": 306, ""learning_rate"": 0.01623915452588388, ""depth"": 5, ""l2_leaf_reg"": 8.083453931702262, ""subsample"": 0.7456392536584828}",17.140334575465527,23.29838747275721,10.135439655668968,13.229679097940574,0.45,0.515,22.57706739958985,16.82313659705874,0.2105840977893124
9,catboost,2400,200,True,36.965749367378564,"{""iterations"": 307, ""learning_rate"": 0.015097131725278117, ""depth"": 5, ""l2_leaf_reg"": 2.296051078278031, ""subsample"": 0.6686860241263652}",13.939966807027309,17.84035193553309,11.125506842140894,14.497281621647163,0.505,0.48,22.197850919498705,16.62645445402697,0.19528172567903887
10,catboost,2600,200,True,36.897281054452506,"{""iterations"": 306, ""learning_rate"": 0.02420250435789851, ""depth"": 4, ""l2_leaf_reg"": 3.8859747876061608, ""subsample"": 0.7525023322993989}",14.684118208662492,18.89923997354402,12.320206676534221,15.525332212696037,0.51,0.415,22.058198199149842,16.80123867034814,0.2260506409201866
11,catboost,2800,200,True,37.1649581141557,"{""iterations"": 314, ""learning_rate"": 0.018220450991937687, ""depth"": 5, ""l2_leaf_reg"": 4.7957106634420095, ""subsample"": 0.7541816907454831}",15.337049962897547,19.983102051826464,10.840963939827034,13.697566310469988,0.46,0.48,22.27556617576766,16.868146244813744,0.21518599381778677
12,catboost,3000,200,True,37.099608641120355,"{""iterations"": 313, ""learning_rate"": 0.017248200077667374, ""depth"": 6, ""l2_leaf_reg"": 4.682952232811255, ""subsample"": 0.830459583039019}",15.81308051999366,19.33079244042199,10.850996357267563,13.917221242365795,0.385,0.46,22.077321521852863,16.581432979299674,0.2571305385601358
13,catboost,3200,200,True,37.094458553368064,"{""iterations"": 306, ""learning_rate"": 0.017822743005378693, ""depth"": 4, ""l2_leaf_reg"": 5.323767906034335, ""subsample"": 0.7782905584523616}",15.910606860858257,19.884923431115613,11.521953580728217,14.759701745587037,0.435,0.465,23.006833806775944,17.28275854587525,0.2576420796524833
